locustag,asmid,species_name,phylum,subphylum,class,order,family,genus,total_proteins,adhesion_count,adhesion_fraction,mean_adhesion_prob,median_adhesion_prob
F8E2FCA9,GCA_013053245.1_LU_AGP_1.0,Agrocybe pediades,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricales,Strophariaceae,Agrocybe,13140,167,0.012709284627092846,0.788140119760479,0.8093
F6D8FC91,GCA_964017145.1_gfAgrPrae1.1,Agrocybe praecox,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricales,Strophariaceae,Agrocybe,14480,158,0.010911602209944752,0.8127113924050633,0.82995
FDE1693B,GCA_022814335.1_ASM2281433v1,Agyrium rufum,Ascomycota,Pezizomycotina,Lecanoromycetes,Pertusariales,Pertusariaceae,Agyrium,8231,137,0.01664439314785567,0.8504839416058394,0.9133
F96731B7,GCA_030783385.1_ASM3078338v1,Akanthomyces dipterigenus,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreales,Cordycipitaceae,Akanthomyces,9857,150,0.015217611849447093,0.8601713333333333,0.9297
F5D69F67,GCA_001636795.1_LEL_1.0,Akanthomyces lecanii,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreales,Cordycipitaceae,Akanthomyces,10193,169,0.01658000588639262,0.8491644970414202,0.9229
FEE3DA2F,GCF_028009165.1_ASM2800916v1,Akanthomyces muscarius,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreales,Cordycipitaceae,Akanthomyces,10346,174,0.01681809394935241,0.8629103448275862,0.9307
F7689288,GCA_003314395.1_ASM331439v1,Albatrellus ellisii,Basidiomycota,Agaricomycotina,Agaricomycetes,Russulales,Albatrellaceae,Albatrellus,11172,71,0.0063551736484067315,0.8374084507042253,0.8963
F647BD20,GCA_003314695.1_ASM331469v1,Albatrellus sp. MG142,Basidiomycota,Agaricomycotina,Agaricomycetes,Russulales,Albatrellaceae,Albatrellus,11198,62,0.0055367029826754776,0.8286741935483871,0.843
F4132733,GCA_020081605.1_ASM2008160v1,Albifimbria verrucaria,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreales,Stachybotryaceae,Albifimbria,10383,176,0.016950784936916114,0.8453153409090909,0.9032
F87FFEF0,GCA_001600555.1_JCM_11844_assembly_v001,Albophoma yamanashiensis,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Albophoma,8579,105,0.012239188716633641,0.8356028571428571,0.8831
F8E3EB72,GCA_905337325.1_GTX0161_lecanoromycete,Alectoria fallacina,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanorales,Parmeliaceae,Alectoria,11012,166,0.015074464220849982,0.86025,0.9216500000000001
F448824E,GCA_009733775.1_ASM973377v1,Alectoria sarmentosa,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanorales,Parmeliaceae,Alectoria,8966,148,0.016506803479812624,0.8521493243243243,0.93255
F19F3CAE,GCA_024752435.1_ASM2475243v1,Allantophomopsis cytisporea,Ascomycota,Pezizomycotina,Leotiomycetes,Phacidiales,Phacidiaceae,Allantophomopsis,9494,180,0.018959342742784917,0.8640288888888888,0.9378
FCEF1A0E,GCA_024752465.1_ASM2475246v1,Allantophomopsis lycopodina,Ascomycota,Pezizomycotina,Leotiomycetes,Phacidiales,Phacidiaceae,Allantophomopsis,9826,215,0.021880724608182373,0.8533781395348837,0.9339
F5FD6588,GCA_030581615.1_ASM3058161v1,Alloascoidea africana,Ascomycota,Saccharomycotina,Alloascoideomycetes,Alloascoideales,Alloascoideaceae,Alloascoidea,8057,180,0.022340821645773862,0.8969377777777778,0.98045
F39431C9,GCA_001600815.1_JCM_7604_assembly_v001,Alloascoidea hylecoeti,Ascomycota,Saccharomycotina,Alloascoideomycetes,Alloascoideales,Alloascoideaceae,Alloascoidea,8085,129,0.01595547309833024,0.8971170542635659,0.9598
FC5AD718,GCA_030565225.1_ASM3056522v1,Allodekkera sacchari,Ascomycota,Saccharomycotina,Pichiomycetes,Pichiales,Pichiaceae,Allodekkera,5283,44,0.00832860117357562,0.8717272727272727,0.94665
FA629528,GCA_027604705.1_ASM2760470v1,Allomyces arbusculus,Blastocladiomycota,Blastocladiomycotina,Blastocladiomycetes,Blastocladiales,Blastocladiaceae,Allomyces,8555,101,0.011805961426066628,0.843580198019802,0.8895
FAFF0595,GCA_027604645.1_ASM2760464v1,Allomyces javanicus,Blastocladiomycota,Blastocladiomycotina,Blastocladiomycetes,Blastocladiales,Blastocladiaceae,Allomyces,9894,113,0.011421063270669092,0.8258522123893806,0.8653
F5BE82F7,GCA_000151295.1_A_macrogynus_V3,Allomyces macrogynus,Blastocladiomycota,Blastocladiomycotina,Blastocladiomycetes,Blastocladiales,Blastocladiaceae,Allomyces,15760,178,0.011294416243654822,0.8575320224719101,0.91235
F2942A61,GCA_037044435.1_ASM3704443v1,Alternaria alstroemeriae,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,10444,134,0.012830333205668327,0.8464111940298508,0.8925000000000001
FF4CECA3,GCA_036971565.1_ALTB1129b1.0,Alternaria alternarina,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,10577,156,0.014748983643755318,0.8398160256410256,0.89455
FB6C866B,GCF_001642055.1_Altal1,Alternaria alternata,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,11085,159,0.014343707713125846,0.8414993710691824,0.8934
F6B53C57,GCA_022814545.1_ASM2281454v1,Alternaria angustiovoidea,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,11238,156,0.013881473571809931,0.850474358974359,0.8958999999999999
FB55235A,GCF_004154835.1_ASM415483v1,Alternaria arborescens,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,11034,158,0.014319376472720682,0.834093670886076,0.8815
F96AD419,GCF_024043155.1_ASM2404315v1,Alternaria arbusti,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,11934,171,0.014328808446455505,0.8326011695906432,0.8728
F2D1C788,GCF_907166805.1_ALTATR162,Alternaria atra,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,12019,168,0.013977868375072802,0.8302482142857143,0.87615
F117BA10,GCA_036768465.1_ASM3676846v1,Alternaria brassicae,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,11565,165,0.014267185473411154,0.8455351515151515,0.8934
F97FA254,GCA_002796735.1_ASM279673v1,Alternaria brassicicola,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,9388,125,0.013314870046868342,0.8481432,0.8935
F7FE95DA,GCF_013036055.1_ASM1303605v1,Alternaria burnsii,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,10648,147,0.013805409466566491,0.8368122448979591,0.8806
F2098371,GCA_020284155.1_ASM2028415v1,Alternaria cf. alternata,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,10958,156,0.014236174484394962,0.8500435897435897,0.8955
FA2481EA,GCF_024043145.1_ASM2404314v1,Alternaria conjuncta,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,11662,166,0.014234265134625279,0.8221307228915663,0.86035
F800F57A,GCA_001950455.1_JCM_1940_assembly_v001,Alternaria consortialis,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,10779,153,0.014194266629557473,0.8403320261437909,0.8961
F3D7F7A0,GCA_025504955.1_ASM2550495v1,Alternaria dauci,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,10799,142,0.013149365682007594,0.8588021126760563,0.91805
F04CEBC8,GCA_037044395.1_ASM3704439v1,Alternaria destruens,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,10465,129,0.012326803631151457,0.8473395348837209,0.8973
F9A5D186,GCF_023757985.1_ASM2375798v1,Alternaria ethzedia,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,11674,158,0.01353434983724516,0.8364424050632912,0.8694999999999999
F0110190,GCA_004156025.2_ASM415602v2,Alternaria gaisen,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,11087,162,0.014611707405068999,0.8519111111111111,0.91245
F8242868,GCA_009289805.1_ASM928980v1,Alternaria gansuensis,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,10055,124,0.01233217304823471,0.844925,0.9071
FA1CD795,GCF_023758085.1_ASM2375808v1,Alternaria hordeiaustralica,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,11767,171,0.014532166227585621,0.8363555555555555,0.8719
F81EE144,GCF_024043165.1_ASM2404316v1,Alternaria incomplexa,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,11525,163,0.014143167028199566,0.835378527607362,0.8723
FD741D79,GCF_024043175.1_ASM2404317v1,Alternaria infectoria,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,11684,162,0.013865114686751112,0.8232074074074074,0.85905
FF09BD07,GCA_019059555.1_ASM1905955v1,Alternaria longipes,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,11878,154,0.01296514564741539,0.8269987012987013,0.8808499999999999
FBE239EC,GCF_023757995.1_ASM2375799v1,Alternaria metachromatica,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,12078,167,0.013826792515317106,0.8309263473053892,0.872
F54975D0,GCF_023758075.1_ASM2375807v1,Alternaria novae-zelandiae,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,11638,163,0.014005842928338202,0.8397055214723926,0.8771
F58820BB,GCA_040583965.1_DAOMC238619_v1,Alternaria oregonensis,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,11494,167,0.014529319645032191,0.8168491017964072,0.8536
FCF6EAD3,GCA_019702505.1_ASM1970250v1,Alternaria panax,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,10079,133,0.013195753546978868,0.8468308270676692,0.9037
F647A3C6,GCA_029783965.1_RDWU_Aporii_p.ctg,Alternaria porri,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,10974,154,0.014033169309276472,0.8413935064935065,0.89345
FBD32A45,GCF_024291825.1_ASM2429182v1,Alternaria postmessia,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,11173,147,0.013156717085831916,0.8499925170068027,0.8991
FF42A38D,GCF_020736505.1_Altro1,Alternaria rosae,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,11165,159,0.014240931482310792,0.8416440251572327,0.8919
F1B3B896,GCA_002952155.1_ASM295215v1,Alternaria solani,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,10507,139,0.013229275720947939,0.8555920863309353,0.9023
F87F2AF1,GCA_023758125.1_ASM2375812v1,Alternaria sp. Ai002NY15,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,11704,158,0.013499658236500341,0.8402272151898734,0.8781
F7781614,GCA_023758005.1_ASM2375800v1,Alternaria sp. BMP 0032,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,11758,169,0.014373192719850315,0.8273041420118343,0.8586
FCCE8A22,GCA_023758145.1_ASM2375814v1,Alternaria sp. BMP 2799,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,11666,164,0.014057946168352478,0.8302713414634146,0.87585
F8610448,GCA_040584015.1_DAOMC225332_v1,Alternaria sp. DAOMC 225332,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,10868,158,0.014538093485461907,0.8199727848101266,0.8604
F91A6A25,GCA_040583805.1_DET2042_v1,Alternaria sp. DET2042,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,11938,165,0.013821410621544647,0.8272612121212122,0.8657
FD3283ED,GCA_040583825.1_DET2072_v1,Alternaria sp. DET2072,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,11726,154,0.013133208255159476,0.8393850649350649,0.87795
FADB3474,GCA_040583765.1_DET2103_v1,Alternaria sp. DET2103,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,11027,158,0.01432846649133944,0.8234848101265823,0.8713
F1EA0705,GCA_040583745.1_DET2104_v1,Alternaria sp. DET2104,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,10977,157,0.014302632777625945,0.8361783439490446,0.8807
F951F178,GCA_040583725.1_DET2105_v1,Alternaria sp. DET2105,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,11576,162,0.013994471319972357,0.8277037037037037,0.86025
FA709154,GCA_040583705.1_DET2106_v1,Alternaria sp. DET2106,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,11517,158,0.01371885039506816,0.8293221518987342,0.86005
FDEBC118,GCA_040583685.1_DET2107_v1,Alternaria sp. DET2107,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,10956,157,0.014330047462577582,0.8330152866242039,0.8717
F9E564E1,GCA_040583665.1_KAS5446_v1,Alternaria sp. KAS5446,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,11340,154,0.013580246913580247,0.8376194805194805,0.87515
F0141B12,GCA_040583645.1_KAS5449_v1,Alternaria sp. KAS5449,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,11983,168,0.014019861470416423,0.8358136904761905,0.87965
F88B0107,GCA_040583605.1_KAS5470_v1,Alternaria sp. KAS5470,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,11487,167,0.014538173587533733,0.8310185628742515,0.8683
F788DCCD,GCA_040583625.1_KAS5474_v1,Alternaria sp. KAS5474,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,10923,142,0.013000091549940493,0.8384274647887324,0.8704000000000001
F09002BB,GCA_040583575.1_KAS5477_v1,Alternaria sp. KAS5477,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,11504,163,0.014168984700973575,0.838263190184049,0.8764
FD81CB66,GCA_040583525.1_KAS5486_v1,Alternaria sp. KAS5486,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,11470,164,0.014298169136878815,0.8279329268292683,0.8596
FE1D2668,GCA_040583505.1_KAS5506_v1,Alternaria sp. KAS5506,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,11536,155,0.013436199722607489,0.8391941935483871,0.8767
FDDE33B2,GCA_023621305.1_ASM2362130v1,Alternaria sp. M3903,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,11077,151,0.01363184977882098,0.8414913907284768,0.8984
F56D6058,GCA_023621335.1_ASM2362133v1,Alternaria sp. M3908,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,11070,151,0.013640469738030713,0.8552993377483443,0.9043
FF98C5DC,GCA_003574525.1_ASM357452v1,Alternaria sp. MG1,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,10974,151,0.013759795881173683,0.8542887417218543,0.8988
F4111E08,GCA_023621325.1_ASM2362132v1,Alternaria sp. S3601,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,11657,163,0.013983014497726688,0.831376073619632,0.8843
F6EE621B,GCA_024606205.1_ASM2460620v1,Alternaria sp. SPS-2,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,10992,151,0.0137372634643377,0.8550218543046357,0.8976
FF34768C,GCA_024321975.1_ASM2432197v1,Alternaria sp. 'sect. Undifilum',Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,9916,134,0.013513513513513514,0.8325768656716418,0.8713
F54CF363,GCA_004156035.1_ASM415603v1,Alternaria tenuissima,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,11335,154,0.013586237318041464,0.8502915584415585,0.8951
F899E93D,GCF_023758025.1_ASM2375802v1,Alternaria triticimaculans,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,11707,155,0.013239941915093534,0.8237709677419355,0.8732
FA0F0CD6,GCA_040583995.1_DAOMC238612_v1,Alternaria triticina,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,11589,159,0.01371990680818017,0.8403685534591195,0.8911
F7746CC6,GCF_023758065.1_ASM2375806v1,Alternaria ventricosa,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,11604,158,0.013615994484660462,0.8386860759493671,0.87705
F773377F,GCF_023758015.1_ASM2375801v1,Alternaria viburni,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,11694,155,0.013254660509663075,0.8285503225806452,0.8586
F6C7908F,GCA_026054675.1_ASM2605467v1,Alyxoria varia,Ascomycota,Pezizomycotina,Arthoniomycetes,Arthoniales,Lecanographaceae,Alyxoria,7556,92,0.012175754367390153,0.8631684782608695,0.94755
FB348870,GCA_001983365.1_ASM198336v1,Amanita bisporigera,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricales,Amanitaceae,Amanita,9412,24,0.0025499362515937103,0.7331875,0.73705
FE0DD6EA,GCA_001691785.3_ASM169178v3,Amanita brunnescens,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricales,Amanitaceae,Amanita,10666,96,0.009000562535158447,0.8180708333333333,0.8447
F0A03C30,GCA_023014455.1_ASM2301445v1,Amanita exitialis,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricales,Amanitaceae,Amanita,10419,64,0.006142624052212304,0.80474375,0.8349
